From,To,Dist_8am,Time_8am,Dist_5pm,Time_5pm
Zaanstad,Amsterdam,29.1,35,26.9,29.5
Zaanstad,Haarlem,22.1,31,22.1,28.5
Schiphol,Leiden,27.1,32,27.1,44
Leiden,Den Haag,21.4,36,21.4,44
Leiden,Zoetemeer,13.3,29,13.3,30
Den Haag,Delft,12,33,12,38.5
Delft,Rotterdam,15.8,28,15.8,36
Rotterdam,Spijkenisse,20.8,24,23.8,46.5
Amsterdam,Utrecht,53.7,67,46.9,75
Utrecht,Dordrecht,59,63,59,92.5
Delft,Vlaardingen,15.7,24,15.7,36
Schiphol,Alphen aan de Rijn,29.3,36,29.3,52.5
Alphen aan de Rijn,Gouda,35,17,17,35.5
Amsterdam,Woerden,46.6,63,46.6,72.5
Schiphol,Utrecht,48.8,58,48.8,65
Amsterdam,Hilversum,35.8,55,41.4,57.5
Amsterdam,Almere,34.6,45,40.1,50
Amsterdam,Amersfoort,50.6,53,59.6,67.5
Rotterdam,Dordrecht,23.6,35,23.6,55
Hilversum,Amersfoort,27.0,35.5,27,39
Utrecht,Woerden,26.7,35.5,29.1,55
Amersfoort,Utrecht,24.9,38,24.9,47.5
Woerden,Gouda,22.8,32,22.8,33
Woerden,Alphen aan de Rijn,21.9,24,21.9,24
Hilversum,Utrecht,20.2,38,20.2,41.5
Gouda,Rotterdam,26.4,50,24,47.5
Gouda,Zoetemeer,21.1,31,21.1,31
Haarlem,Schiphol,19.1,30,19.1,26.5
Zoetemeer,Den Haag,16.4,22,16.2,35
Zoetemeer,Leiden,15.3,31,15.3,33.5
Vlaardingen,Rotterdam,13.1,23,12.1,29
Almere,Hilversum,28.4,42.5,28.4,35.5
Amsterdam,Schiphol,22.8,39,22.5,47.5
Leiden,Alphen aan de Rijn,21.1,31,19.1,33.5
Amsterdam,Zaanstad,29.1,71,29.1,45
Haarlem,Zaanstad,23.3,32,23.6,32
Leiden,Schiphol,26.9,32,26.9,28.5
Den Haag,Leiden,24,44,20.5,52.5
Zoetemeer,Leiden,15.3,36,15.3,33.5
Delft,Den Haag,11.1,32.5,11.1,36
Rotterdam,Delft,16.6,27.5,16.6,33.5
Spijkenisse,Rotterdam,23.2,34.5,23.2,37
Utrecht,Amsterdam,53.2,67.5,53.2,67.5
Dordrecht,Utrecht,60.8,67.5,60.8,75
Vlaardingen,Delft,16,27.5,16,30
Alphen aan de Rijn,Schiphol,25.2,41.5,25.2,31
Gouda,Alphen aan de Rijn,16.6,31,16.6,32
Woerden,Amsterdam,42.4,67.5,42.4,65
Utrecht,Schiphol,55.6,65,55.6,75
Hilversum,Amsterdam,35,52.5,35,50
Almere,Amsterdam,33.1,42.5,33.1,40
Amersfoort,Amsterdam,50.6,67.5,50.6,62.5
Dordrecht,Rotterdam,26.2,41.5,26.2,46.5
Amersfoort,Hilversum,24.9,41.5,24.9,38
Woerden,Utrecht,27.7,45,27.7,45
Utrecht,Amersfoort,24.9,35.5,21.7,45
Gouda,Woerden,22.4,32,22.4,31
Alphen aan de Rijn,Woerden,22.4,33.5,22.4,28.5
Utrecht,Hilversum,20,37,20,40.5
Rotterdam,Gouda,23.7,39,23.7,52.5
Zoetemeer,Gouda,20.6,28.5,20.6,32
Schiphol,Haarlem,20.7,26.5,20.7,32.5
Den Haag,Zoetemeer,16.4,23,16.1,36
Leiden,Zoetemeer,13.3,29,13.3,30
Rotterdam,Vlaardingen,13.6,25.5,14.4,29
Hilversum,Almere,29.9,36.5,28.7,40
Schiphol,Amsterdam,22.1,36,22.1,40.5
Alphen aan de Rijn,Leiden,19.8,40.5,19.8,37
